,model,threshold,precision,recall,accuracy,f1
0,random forest,25,0.859492531858618,0.9609497287175301,0.842135017601988,0.907315504880651
1,random forest,50,0.7593596593934666,0.7767580238009376,0.7484209981362601,0.7677357815992298
2,random forest,75,0.7117196927797028,0.6025383141762453,0.7893580451439222,0.6524748473402641
0,lgbm,25,0.8531181970576341,0.9252972903762744,0.8116597639262787,0.8876467147992118
1,lgbm,50,0.7513766803861103,0.7546844572664984,0.73477117415614,0.7529241277738715
2,lgbm,75,0.6521506204859687,0.5928448275862068,0.7620625388279146,0.6206450930162344
0,xgboost,25,0.8589821387679157,0.9252972903762744,0.8175678194243113,0.8908119478688873
1,xgboost,50,0.7408380888118729,0.7521456905878111,0.7261306688755436,0.7464079739113241
2,xgboost,75,0.6532965204194084,0.6053352490421455,0.7647918823773038,0.6278111758940967
