,model,threshold,best_params,precision,recall,accuracy,f1
0,random forest,25,"{'min_samples_split': 2, 'n_estimators': 500}",0.8692307692307693,0.9495798319327731,0.8431818181818181,0.9076305220883534
1,random forest,50,"{'min_samples_split': 2, 'n_estimators': 1000}",0.7738095238095238,0.8024691358024691,0.7613636363636364,0.787878787878788
2,random forest,75,"{'min_samples_split': 4, 'n_estimators': 1000}",0.6371681415929203,0.549618320610687,0.7727272727272727,0.5901639344262295
0,lgbm,25,"{'learning_rate': 0.01, 'n_estimators': 500}",0.8320610687022901,0.956140350877193,0.8159090909090909,0.889795918367347
1,lgbm,50,"{'learning_rate': 0.01, 'n_estimators': 500}",0.7890625,0.8278688524590164,0.7818181818181819,0.8080000000000002
2,lgbm,75,"{'learning_rate': 0.01, 'n_estimators': 200}",0.7227722772277227,0.5140845070422535,0.7795454545454545,0.6008230452674896
0,xgboost,25,"{'learning_rate': 0.1, 'n_estimators': 200}",0.8596938775510204,0.9335180055401662,0.8204545454545454,0.8950863213811421
1,xgboost,50,"{'learning_rate': 0.01, 'n_estimators': 1000}",0.724,0.7801724137931034,0.7272727272727273,0.7510373443983402
2,xgboost,75,"{'learning_rate': 0.1, 'n_estimators': 200}",0.7105263157894737,0.54,0.7681818181818182,0.6136363636363636
